fold,weight_decay,epoch,log_rmse,train_seeds,validation_seeds,test_seeds
0,1e-05,40,0.11135342876827721,137077 61417 121021 47837 52691 145093 27183 161123 18427 153133 90709 105019,81929 74167 113117 40213,31991 69371 98251 129121
0,0.0001,60,0.09927555667440911,137077 61417 121021 47837 52691 145093 27183 161123 18427 153133 90709 105019,81929 74167 113117 40213,31991 69371 98251 129121
1,1e-05,10,0.1458269630483463,18427 52691 74167 129121 161123 61417 31991 98251 137077 47837 153133 90709,40213 113117 81929 69371,27183 105019 121021 145093
1,0.0001,10,0.1458269630483463,18427 52691 74167 129121 161123 61417 31991 98251 137077 47837 153133 90709,40213 113117 81929 69371,27183 105019 121021 145093
2,1e-05,10,0.27844155831800127,121021 98251 145093 137077 153133 74167 113117 52691 105019 40213 31991 69371,27183 18427 161123 129121,47837 61417 81929 90709
2,0.0001,10,0.27844155831800127,121021 98251 145093 137077 153133 74167 113117 52691 105019 40213 31991 69371,27183 18427 161123 129121,47837 61417 81929 90709
3,1e-05,10,0.2621642227039772,105019 69371 40213 18427 113117 121021 98251 145093 129121 27183 47837 81929,61417 90709 31991 137077,52691 74167 153133 161123
3,0.0001,10,0.26216437863164477,105019 69371 40213 18427 113117 121021 98251 145093 129121 27183 47837 81929,61417 90709 31991 137077,52691 74167 153133 161123
4,1e-05,10,0.3176121059792184,105019 121021 27183 161123 47837 145093 74167 90709 153133 31991 81929 129121,52691 69371 98251 61417,18427 40213 113117 137077
4,0.0001,10,0.3176121059792184,105019 121021 27183 161123 47837 145093 74167 90709 153133 31991 81929 129121,52691 69371 98251 61417,18427 40213 113117 137077
